"Id";"variable";"value"
"Mystik51";"Pocitacova bezpecnost (Bc)";1
"yoshi";"Pocitacova bezpecnost (Bc)";1
"Pospa";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"ebola";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Letajici spagetove monstrum";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Vojta K.";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Fox";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Alex";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"leebro123";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"keafe";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"JamesBond";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Mystik51";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Dinn";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"marcinko";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Lenochod";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"yoshi";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Lachtan";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"random VSB student";"Tvorba aplikaci pro mobilni zarizeni II (Bc)";1
"Pospa";"Sprava operacnich systemu (Bc)";1
"Letajici spagetove monstrum";"Sprava operacnich systemu (Bc)";1
"Rudolph";"Sprava operacnich systemu (Bc)";1
"Fox";"Sprava operacnich systemu (Bc)";1
"Alex";"Sprava operacnich systemu (Bc)";1
"DemoX";"Sprava operacnich systemu (Bc)";1
"Lenochod";"Sprava operacnich systemu (Bc)";1
"kufrik";"Sprava operacnich systemu (Bc)";1
"random VSB student";"Sprava operacnich systemu (Bc)";1
"brajenisek";"Telesna vychova (Bc)";1
"JakubCH";"Telesna vychova (Bc)";1
"ebola";"Telesna vychova (Bc)";1
"Letajici spagetove monstrum";"Telesna vychova (Bc)";1
"Rudolph";"Telesna vychova (Bc)";1
"Tess";"Telesna vychova (Bc)";1
"leebro123";"Telesna vychova (Bc)";1
"Mystik51";"Telesna vychova (Bc)";1
